Occurrence,AnnualRainfall,RainfallSeasonality,TempSeasonality,MaxTemp,Isothermality,Slope,Watering,PlantMaterialOrigin,Area
0,-0.339588334,-0.147788301,0.876672556,1.581136661,-0.702639787,-0.582271369,Irrigated,Vivero,-0.005208438
0,-0.451060359,-0.147788301,0.818584232,1.721024067,-0.702639787,-1.27257296,Irrigated,Vivero,0.074077214
0,-0.339588334,-0.147788301,0.876672556,1.581136661,-0.702639787,-1.102396833,Irrigated,Vivero,2.315897233
1,-0.658079834,0.081338574,0.512652392,1.581136661,-0.702639787,-0.202278221,Irrigated,Estaca,0.390492434
0,-0.658079834,0.081338574,0.512652392,1.581136661,-0.702639787,0.111755106,Irrigated,Estaca,0.414860043
1,-0.737702709,-0.147788301,0.408093409,1.581136661,-0.702639787,-1.106829126,Irrigated,Vivero,0.853840699
1,-0.727086326,-0.147788301,0.528142612,1.674394932,-0.702639787,-0.568296145,Irrigated,Vivero,9.691645122
1,-0.944722185,0.081338574,0.380985525,1.721024067,-0.702639787,-1.346448365,Irrigated,Vivero,0.01588591
0,-0.514758659,-0.147788301,0.477799398,1.441249255,-0.702639787,-0.648776685,Irrigated,Vivero,0.100626997
0,-0.514758659,-0.147788301,0.477799398,1.441249255,-0.702639787,-0.635509226,Irrigated,Estaca,0.663191437
1,-0.514758659,-0.147788301,0.477799398,1.441249255,1.344978399,-0.371402466,Irrigated,Estaca,0.223774346
1,-0.817325585,0.310465449,0.439073849,1.581136661,1.344978399,-1.332773248,Irrigated,Vivero,-0.176872788
1,-0.817325585,0.310465449,0.439073849,1.581136661,1.344978399,-1.2401694,Irrigated,Vivero,-0.146322353
0,-0.817325585,0.310465449,0.439073849,1.581136661,1.344978399,-1.561663031,Irrigated,Estaca,-0.278707571
0,-0.658079834,0.081338574,0.411965964,1.441249255,-0.702639787,0.755674663,Rainfed,Estaca,-0.147777135
0,-0.514758659,-0.147788301,0.477799398,1.441249255,-0.702639787,-0.722371179,Irrigated,Vivero,0.094589649
0,-1.454308585,0.539592324,-1.315193537,-0.517174426,1.344978399,1.775111042,Irrigated,Estaca,-0.272888441
0,-0.403286634,0.081338574,-0.683967082,-0.657061832,1.344978399,1.820596554,Rainfed,Estaca,-0.273615832
0,-0.498834084,0.081338574,-0.637496423,-0.377287021,1.344978399,-0.444890869,Irrigated,Vivero,0.550518523
